Dataset,F1_measure,Accuracy
HDFS,0.999984,0.997500
Hadoop,0.996826,0.894000
Spark,0.513310,0.418000
Zookeeper,0.998413,0.839000
BGL,0.999280,0.946500
HPC,0.983356,0.869000
Thunderbird,0.998670,0.657000
Windows,0.956318,0.405000
Linux,0.730893,0.286000
Android,0.962194,0.713000
HealthApp,0.781755,0.316500
Apache,1.000000,1.000000
Proxifier,0.742628,0.013000
OpenSSH,0.997590,0.540000
OpenStack,0.726796,0.213000
Mac,0.938651,0.650000
